"","arvore","metodo","vol_cubagem","vol_criterion","er","er_med","dap_criterion","dap_cubagem","ht_criterion","ht_cubagem","secao_max_criterion","secao_max_cubagem"
"21",5,"Cubagem 1,3",0.103093083882193,0.0962003664819101,-6.69,0.65,11.1,11.87295875,19.2,19,14.3,18.3
"22",6,"Cubagem 1,3",0.0884074116419625,0.100768683497049,13.98,0.65,11,11.4591559,19.7,18.38,15.3,16.3
"23",7,"Cubagem 1,3",0.0660797636427106,0.0754536737167988,14.19,0.65,10.3,10.12225438,17.43,16.42,13.3,15.3
"24",8,"Cubagem 1,3",0.197320417822821,0.217996023985671,10.48,0.65,16.3,14.89690267,23.7,24.8,17.3,24.3
"25",9,"Cubagem 1,3",0.264064756780705,0.276099868562568,4.56,0.65,18.1,17.28422682,24.3,25.73,17.3,24.3
"26",10,"Cubagem 1,3",0.363893326093832,0.392245558369029,7.79,0.65,20,18.39831142,28.3,27.84,21.3,26.3
"27",11,"Cubagem 1,3",0.356420619556684,0.356058677440969,-0.1,0.65,18.1,18.36648043,25.7,27.22,20.3,26.3
"28",12,"Cubagem 1,3",0.287421612072174,0.271384628437772,-5.58,0.65,16.1,16.61577606,26.5,26.85,18.3,26.3
"29",13,"Cubagem 1,3",0.380321959854552,0.335697061693704,-11.73,0.65,18.5,19.73521294,26.2,26.68,19.3,25.3
"30",14,"Cubagem 1,3",0.0786454204061367,0.0588230708213201,-25.2,0.65,9.2,10.53605723,16.4,17.64,11.3,17.3
"31",15,"Cubagem 1,3",0.231280414149236,0.222099282344227,-3.97,0.65,15.8,16.13831123,25.1,25.2,17.3,23.3
"32",16,"Cubagem 1,3",0.252471672001683,0.23645493355512,-6.34,0.65,16,16.17014222,24.7,25.93,18.3,24.3
"33",1,"Cubagem 2,3",0.108901117266202,0.112895950882666,3.67,0.88,11,12.5732405,17.4,17.92,15.3,17.3
"34",2,"Cubagem 2,3",0.426777680266423,0.4320208085114,1.23,0.88,21.9,20.05352283,28.4,28.9,23.3,28.3
"35",3,"Cubagem 2,3",0.554611511454633,0.60527465711663,9.13,0.88,22.4,22.6636639,27.4,29.9,24.3,29.3
"36",4,"Cubagem 2,3",0.121626836186808,0.130820935936163,7.56,0.88,12.2,12.44591655,20.2,20.22,16.3,19.3
"37",5,"Cubagem 2,3",0.103093083882193,0.0972972010841179,-5.62,0.88,11.1,11.87295875,19.2,19,14.3,18.3
"38",6,"Cubagem 2,3",0.0884074116419625,0.10119353958905,14.46,0.88,11,11.4591559,19.7,18.38,15.3,16.3
"39",7,"Cubagem 2,3",0.0660797636427106,0.074965784816676,13.45,0.88,10.3,10.12225438,17.43,16.42,13.3,15.3
"40",8,"Cubagem 2,3",0.197320417822821,0.215111270699787,9.02,0.88,16.3,14.89690267,23.7,24.8,17.3,24.3
"41",9,"Cubagem 2,3",0.264064756780705,0.273564798110497,3.6,0.88,18.1,17.28422682,24.3,25.73,17.3,24.3
"42",10,"Cubagem 2,3",0.363893326093832,0.387928423022174,6.6,0.88,20,18.39831142,28.3,27.84,21.3,26.3
"43",11,"Cubagem 2,3",0.356420619556684,0.356014895302886,-0.11,0.88,18.1,18.36648043,25.7,27.22,20.3,26.3
"44",12,"Cubagem 2,3",0.287421612072174,0.272557297624069,-5.17,0.88,16.1,16.61577606,26.5,26.85,18.3,26.3
"45",13,"Cubagem 2,3",0.380321959854552,0.338612288270257,-10.97,0.88,18.5,19.73521294,26.2,26.68,19.3,25.3
"46",14,"Cubagem 2,3",0.0786454204061367,0.0606998150522117,-22.82,0.88,9.2,10.53605723,16.4,17.64,11.3,17.3
"47",15,"Cubagem 2,3",0.231280414149236,0.222103400824623,-3.97,0.88,15.8,16.13831123,25.1,25.2,17.3,23.3
"48",16,"Cubagem 2,3",0.252471672001683,0.237497967425657,-5.93,0.88,16,16.17014222,24.7,25.93,18.3,24.3
"49",1,"Cubagem 3,3",0.108901117266202,0.115643677903233,6.19,1.01,11,12.5732405,17.4,17.92,15.3,17.3
"50",2,"Cubagem 3,3",0.426777680266423,0.431240304986112,1.05,1.01,21.9,20.05352283,28.4,28.9,23.3,28.3
"51",3,"Cubagem 3,3",0.554611511454633,0.606583452698241,9.37,1.01,22.4,22.6636639,27.4,29.9,24.3,29.3
"52",4,"Cubagem 3,3",0.121626836186808,0.130854326904028,7.59,1.01,12.2,12.44591655,20.2,20.22,16.3,19.3
"53",5,"Cubagem 3,3",0.103093083882193,0.0979458857188608,-4.99,1.01,11.1,11.87295875,19.2,19,14.3,18.3
"54",6,"Cubagem 3,3",0.0884074116419625,0.10058081136533,13.77,1.01,11,11.4591559,19.7,18.38,15.3,16.3
"55",7,"Cubagem 3,3",0.0660797636427106,0.0749115759695091,13.37,1.01,10.3,10.12225438,17.43,16.42,13.3,15.3
"56",8,"Cubagem 3,3",0.197320417822821,0.211544394147945,7.21,1.01,16.3,14.89690267,23.7,24.8,17.3,24.3
"57",9,"Cubagem 3,3",0.264064756780705,0.270812921417577,2.56,1.01,18.1,17.28422682,24.3,25.73,17.3,24.3
"58",10,"Cubagem 3,3",0.363893326093832,0.384592909579359,5.69,1.01,20,18.39831142,28.3,27.84,21.3,26.3
"59",11,"Cubagem 3,3",0.356420619556684,0.356543223154849,0.03,1.01,18.1,18.36648043,25.7,27.22,20.3,26.3
"60",12,"Cubagem 3,3",0.287421612072174,0.272291842757594,-5.26,1.01,16.1,16.61577606,26.5,26.85,18.3,26.3
"61",13,"Cubagem 3,3",0.380321959854552,0.341792869710898,-10.13,1.01,18.5,19.73521294,26.2,26.68,19.3,25.3
"62",14,"Cubagem 3,3",0.0786454204061367,0.0621093679638661,-21.03,1.01,9.2,10.53605723,16.4,17.64,11.3,17.3
"63",15,"Cubagem 3,3",0.231280414149236,0.222386609156876,-3.85,1.01,15.8,16.13831123,25.1,25.2,17.3,23.3
"64",16,"Cubagem 3,3",0.252471672001683,0.238784633166077,-5.42,1.01,16,16.17014222,24.7,25.93,18.3,24.3
"65",1,"Cubagem 4,3",0.108901117266202,0.117109545526745,7.54,1.01,11,12.5732405,17.4,17.92,15.3,17.3
"66",2,"Cubagem 4,3",0.426777680266423,0.432827144873816,1.42,1.01,21.9,20.05352283,28.4,28.9,23.3,28.3
"67",3,"Cubagem 4,3",0.554611511454633,0.605362292289183,9.15,1.01,22.4,22.6636639,27.4,29.9,24.3,29.3
"68",4,"Cubagem 4,3",0.121626836186808,0.130846259444,7.58,1.01,12.2,12.44591655,20.2,20.22,16.3,19.3
"69",5,"Cubagem 4,3",0.103093083882193,0.09844058987152,-4.51,1.01,11.1,11.87295875,19.2,19,14.3,18.3
"70",6,"Cubagem 4,3",0.0884074116419625,0.100305603479946,13.46,1.01,11,11.4591559,19.7,18.38,15.3,16.3
"71",7,"Cubagem 4,3",0.0660797636427106,0.07445835587778,12.68,1.01,10.3,10.12225438,17.43,16.42,13.3,15.3
"72",8,"Cubagem 4,3",0.197320417822821,0.20718448408172,5,1.01,16.3,14.89690267,23.7,24.8,17.3,24.3
"73",9,"Cubagem 4,3",0.264064756780705,0.267091131048281,1.15,1.01,18.1,17.28422682,24.3,25.73,17.3,24.3
"74",10,"Cubagem 4,3",0.363893326093832,0.38330580902761,5.33,1.01,20,18.39831142,28.3,27.84,21.3,26.3
"75",11,"Cubagem 4,3",0.356420619556684,0.358085563741967,0.47,1.01,18.1,18.36648043,25.7,27.22,20.3,26.3
"76",12,"Cubagem 4,3",0.287421612072174,0.272284943963972,-5.27,1.01,16.1,16.61577606,26.5,26.85,18.3,26.3
"77",13,"Cubagem 4,3",0.380321959854552,0.344933601740544,-9.3,1.01,18.5,19.73521294,26.2,26.68,19.3,25.3
"78",14,"Cubagem 4,3",0.0786454204061367,0.0632314870478645,-19.6,1.01,9.2,10.53605723,16.4,17.64,11.3,17.3
"79",15,"Cubagem 4,3",0.231280414149236,0.222034615602121,-4,1.01,15.8,16.13831123,25.1,25.2,17.3,23.3
"80",16,"Cubagem 4,3",0.252471672001683,0.240152162716843,-4.88,1.01,16,16.17014222,24.7,25.93,18.3,24.3
"81",1,"Cubagem 5,3",0.108901117266202,0.118918889917627,9.2,0.86,11,12.5732405,17.4,17.92,15.3,17.3
"82",2,"Cubagem 5,3",0.426777680266423,0.433972503863019,1.69,0.86,21.9,20.05352283,28.4,28.9,23.3,28.3
"83",3,"Cubagem 5,3",0.554611511454633,0.602612050794082,8.65,0.86,22.4,22.6636639,27.4,29.9,24.3,29.3
"84",4,"Cubagem 5,3",0.121626836186808,0.130289218840571,7.12,0.86,12.2,12.44591655,20.2,20.22,16.3,19.3
"85",5,"Cubagem 5,3",0.103093083882193,0.0985390277826467,-4.42,0.86,11.1,11.87295875,19.2,19,14.3,18.3
"86",6,"Cubagem 5,3",0.0884074116419625,0.100189644802194,13.33,0.86,11,11.4591559,19.7,18.38,15.3,16.3
"87",7,"Cubagem 5,3",0.0660797636427106,0.0734760678310546,11.19,0.86,10.3,10.12225438,17.43,16.42,13.3,15.3
"88",8,"Cubagem 5,3",0.197320417822821,0.200145944426896,1.43,0.86,16.3,14.89690267,23.7,24.8,17.3,24.3
"89",9,"Cubagem 5,3",0.264064756780705,0.263430526035702,-0.24,0.86,18.1,17.28422682,24.3,25.73,17.3,24.3
"90",10,"Cubagem 5,3",0.363893326093832,0.383522944914596,5.39,0.86,20,18.39831142,28.3,27.84,21.3,26.3
"91",11,"Cubagem 5,3",0.356420619556684,0.359290305291237,0.81,0.86,18.1,18.36648043,25.7,27.22,20.3,26.3
"92",12,"Cubagem 5,3",0.287421612072174,0.271967374732365,-5.38,0.86,16.1,16.61577606,26.5,26.85,18.3,26.3
"93",13,"Cubagem 5,3",0.380321959854552,0.348765027824997,-8.3,0.86,18.5,19.73521294,26.2,26.68,19.3,25.3
"94",14,"Cubagem 5,3",0.0786454204061367,0.0637956174207781,-18.88,0.86,9.2,10.53605723,16.4,17.64,11.3,17.3
"95",15,"Cubagem 5,3",0.231280414149236,0.223191930970325,-3.5,0.86,15.8,16.13831123,25.1,25.2,17.3,23.3
"96",16,"Cubagem 5,3",0.252471672001683,0.241670365330913,-4.28,0.86,16,16.17014222,24.7,25.93,18.3,24.3
"97",1,"Cubagem 6,3",0.108901117266202,0.11957673505036,9.8,0.61,11,12.5732405,17.4,17.92,15.3,17.3
"98",2,"Cubagem 6,3",0.426777680266423,0.435498730851842,2.04,0.61,21.9,20.05352283,28.4,28.9,23.3,28.3
"99",3,"Cubagem 6,3",0.554611511454633,0.599717534486469,8.13,0.61,22.4,22.6636639,27.4,29.9,24.3,29.3
"100",4,"Cubagem 6,3",0.121626836186808,0.129363273691705,6.36,0.61,12.2,12.44591655,20.2,20.22,16.3,19.3
"101",5,"Cubagem 6,3",0.103093083882193,0.0981214762101503,-4.82,0.61,11.1,11.87295875,19.2,19,14.3,18.3
"102",6,"Cubagem 6,3",0.0884074116419625,0.0997135467563947,12.79,0.61,11,11.4591559,19.7,18.38,15.3,16.3
"103",7,"Cubagem 6,3",0.0660797636427106,0.0724439007447216,9.63,0.61,10.3,10.12225438,17.43,16.42,13.3,15.3
"104",8,"Cubagem 6,3",0.197320417822821,0.195697636393466,-0.82,0.61,16.3,14.89690267,23.7,24.8,17.3,24.3
"105",9,"Cubagem 6,3",0.264064756780705,0.259798859096427,-1.62,0.61,18.1,17.28422682,24.3,25.73,17.3,24.3
"106",10,"Cubagem 6,3",0.363893326093832,0.380712199707173,4.62,0.61,20,18.39831142,28.3,27.84,21.3,26.3
"107",11,"Cubagem 6,3",0.356420619556684,0.359153082133504,0.77,0.61,18.1,18.36648043,25.7,27.22,20.3,26.3
"108",12,"Cubagem 6,3",0.287421612072174,0.272156185017044,-5.31,0.61,16.1,16.61577606,26.5,26.85,18.3,26.3
"109",13,"Cubagem 6,3",0.380321959854552,0.352731019984374,-7.25,0.61,18.5,19.73521294,26.2,26.68,19.3,25.3
"110",14,"Cubagem 6,3",0.0786454204061367,0.0650083363277224,-17.34,0.61,9.2,10.53605723,16.4,17.64,11.3,17.3
"111",15,"Cubagem 6,3",0.231280414149236,0.223233183523622,-3.48,0.61,15.8,16.13831123,25.1,25.2,17.3,23.3
"112",16,"Cubagem 6,3",0.252471672001683,0.242823582451745,-3.82,0.61,16,16.17014222,24.7,25.93,18.3,24.3
